Date,Open,High,Low,Close,Volume
2017-09-28,406.95,406.95,399.0,401.4,4850748
2017-09-29,401.4,405.0,397.4,401.5,7520906
2017-10-03,428.0,428.0,415.0,416.0,9696920
2017-10-04,417.55,426.0,412.7,423.55,7663143
2017-10-05,423.0,425.8,420.1,423.3,4606192
2017-10-06,422.0,426.0,416.2,424.85,5308695
2017-10-09,424.0,432.1,423.05,425.6,4414381
2017-10-10,425.6,428.9,421.4,423.6,5057869
2017-10-11,424.9,424.9,414.1,415.5,4320451
2017-10-12,415.5,421.8,409.35,420.15,5442846
2017-10-13,421.0,429.3,418.9,424.8,6969434
2017-10-16,426.3,438.0,425.85,437.05,8476709
2017-10-17,435.75,435.75,430.2,432.3,5135763
2017-10-18,432.25,437.3,426.6,433.2,5539785
2017-10-19,433.0,433.1,424.25,426.95,1313380
2017-10-23,429.1,430.85,421.0,422.75,4013418
2017-10-24,422.75,423.8,415.05,416.05,4541742
2017-10-25,421.0,424.4,415.1,421.95,5666968
2017-10-26,421.7,422.4,417.0,419.4,6207936
2017-10-27,422.05,434.35,422.05,429.9,7414741
2017-10-30,428.25,440.95,428.25,436.55,7675104
2017-10-31,438.85,438.85,427.3,428.4,6214996
2017-11-01,430.95,439.95,428.45,437.75,7310931
2017-11-02,435.7,440.4,429.9,434.9,8262211
2017-11-03,434.0,449.35,432.65,447.7,8116263
2017-11-06,445.75,468.0,443.55,462.9,19456789
2017-11-07,458.2,465.9,450.05,451.85,13266543
2017-11-08,448.0,455.0,431.3,438.2,11193613
2017-11-09,442.1,450.9,425.65,440.15,40547266
2017-11-10,438.95,438.95,420.0,422.55,22534490
2017-11-13,423.0,427.5,416.1,418.1,9857544
2017-11-14,418.55,421.85,410.65,414.3,8987515
2017-11-15,414.3,417.55,407.0,408.65,9867270
2017-11-16,411.35,415.9,411.35,413.45,6291441
2017-11-17,419.45,423.45,417.0,421.8,6191428
2017-11-20,421.0,425.7,420.1,423.0,4051153
2017-11-21,424.45,430.0,422.5,424.25,6745407
2017-11-22,425.45,433.0,424.5,428.6,7899417
2017-11-23,428.6,431.05,422.45,426.25,7374216
2017-11-24,427.0,429.95,424.25,425.5,5108182
2017-11-27,423.0,424.75,417.8,421.4,7946028
2017-11-28,419.8,422.25,414.5,415.95,6217480
2017-11-29,415.9,419.45,412.05,413.95,4327453
2017-11-30,410.4,412.25,402.25,404.15,25646262
2017-12-01,407.9,410.25,396.5,398.9,7959197
2017-12-04,405.8,411.25,401.7,403.65,10043491
2017-12-05,404.55,405.5,396.55,402.25,7144542
2017-12-06,400.2,404.0,395.0,397.05,5573968
2017-12-07,398.0,405.3,397.15,402.0,7998863
2017-12-08,406.0,413.75,406.0,411.15,12288946
2017-12-11,412.0,415.2,409.05,410.15,5066242
2017-12-12,411.55,415.5,405.95,406.85,6151197
2017-12-13,407.0,409.85,400.0,401.95,5140689
2017-12-14,404.0,404.55,398.2,402.4,4674026
2017-12-15,406.5,409.0,404.2,405.1,5614113
2017-12-18,399.0,409.9,389.3,405.8,5356208
2017-12-19,407.35,421.7,407.35,420.1,9686883
2017-12-20,421.95,427.75,419.25,422.6,11191127
2017-12-21,424.0,426.05,419.55,420.8,4885225
2017-12-22,422.05,426.4,420.9,422.0,5345261
2017-12-26,422.0,425.15,421.15,424.2,3700655
2017-12-27,423.5,428.45,420.3,422.45,3673355
2017-12-28,423.5,423.7,416.0,418.6,5018893
2017-12-29,418.0,433.45,417.15,431.85,8640908
2018-01-01,430.95,436.4,422.25,424.45,6807536
2018-01-02,428.85,440.85,422.0,439.3,15331261
2018-01-03,440.4,441.4,431.95,433.9,9794953
2018-01-04,430.0,433.3,425.75,429.95,8395377
2018-01-05,431.25,436.35,429.8,431.6,7021611
2018-01-08,432.0,436.2,431.65,433.55,4635214
2018-01-09,434.25,443.5,433.0,437.55,12629045
2018-01-10,438.0,439.3,431.3,433.3,4702579
2018-01-11,433.5,437.6,432.9,434.75,4564895
2018-01-12,437.0,441.45,432.1,437.1,7408870
2018-01-15,438.05,440.05,431.05,432.35,4042775
2018-01-16,433.0,435.2,419.5,421.9,5623745
2018-01-17,422.05,424.5,410.1,422.95,10204447
2018-01-18,424.0,428.3,414.45,418.95,9579830
2018-01-19,415.2,421.95,415.05,418.05,3894062
2018-01-22,419.05,424.4,418.45,421.9,4643782
2018-01-23,422.8,422.8,414.75,418.0,6185011
2018-01-24,416.0,416.25,402.65,403.6,10789570
2018-01-25,403.45,407.65,398.0,400.3,16312167
2018-01-29,402.5,405.9,398.1,399.25,5789602
2018-01-30,400.0,402.3,395.0,395.85,6963005
2018-01-31,395.5,400.95,395.25,399.5,5111454
2018-02-01,399.9,403.8,390.55,393.65,7259426
2018-02-02,392.0,397.4,381.3,383.75,10070356
2018-02-05,381.0,398.0,380.0,395.8,9876017
2018-02-06,363.0,379.85,356.5,375.45,25294860
2018-02-07,380.4,385.4,375.2,377.8,12706795
2018-02-08,379.9,380.0,372.2,374.85,12452396
2018-02-09,369.9,373.2,368.0,368.75,8816777
2018-02-12,373.4,376.2,370.2,371.8,6002369
2018-02-14,372.9,382.3,370.6,376.85,9623436
2018-02-15,379.8,382.2,373.1,375.8,10225880
2018-02-16,378.0,379.4,367.6,370.75,8545282
2018-02-19,373.7,374.7,362.8,368.75,5658765
2018-02-20,370.35,370.9,366.5,369.3,3972114
2018-02-21,372.5,372.5,362.85,364.45,8640166
2018-02-22,363.0,363.0,357.5,358.5,10870704
2018-02-23,360.1,364.6,358.75,360.2,6751064
2018-02-26,362.0,373.5,362.0,372.05,10576794
2018-02-27,375.0,376.6,370.35,372.55,6156672
2018-02-28,370.0,373.65,367.15,369.9,8009429
2018-03-01,369.75,376.3,369.05,370.75,6991806
2018-03-05,368.75,368.75,350.1,352.05,14665325
2018-03-06,355.15,357.95,345.0,346.5,8876632
2018-03-07,345.0,355.3,343.25,347.8,15599393
2018-03-08,350.8,351.9,341.05,345.15,7674221
2018-03-09,345.55,348.7,340.15,341.5,5519224
2018-03-12,345.0,353.8,340.35,352.6,8238960
2018-03-13,352.6,356.45,350.0,353.15,6184241
2018-03-14,351.0,354.9,349.6,354.05,3820313
2018-03-15,354.05,358.4,351.1,353.1,4331145
2018-03-16,352.05,352.6,338.4,339.75,14205582
2018-03-19,341.2,342.1,332.55,335.7,9391347
2018-03-20,335.5,340.4,333.55,338.8,5080453
2018-03-21,339.9,342.25,332.25,333.85,6812442
2018-03-22,338.5,340.25,334.8,338.2,9255091
2018-03-23,330.0,334.8,329.6,330.85,8578297
2018-03-26,328.8,333.9,324.3,332.35,8907023
2018-03-27,333.95,335.8,330.1,331.15,6822448
2018-03-28,331.5,333.65,325.2,326.85,10975624
